actuator_saturation.l_ankle_act,actuator_saturation.l_toe_act,actuator_saturation.r_ankle_act,actuator_saturation.r_toe_act,bilateral_windows,body_ground_contact,both_feet_sensed,command_spectrum.peak_hz,command_spectrum.power_above_10hz,command_spectrum.rms,diagnostic_intervention,digit_sensors_with_load,duration_s,final_drift_m,full_horizon,max_ground_force_N,max_self_contact_N,max_sensor_error_N,obstacle_contact_samples,pad_load_fraction,pelvis_angular_velocity_rms,physics_bilateral,physics_bilateral_20pct_weight,physics_samples,physics_unsupported,positive_actuator_work_J,reward,seed,sole_pitch_spectrum.peak_hz,sole_pitch_spectrum.power_above_10hz,sole_pitch_spectrum.rms,support_switches_per_s,termination,unsupported_windows,variant
,,,,,True,True,,,,True,[],0.66,0.08925318558881863,False,,,0.0,0,,,,,0,,,52.844355616620426,4102,,,,,body_contact,,all_lp5
,,,,,True,True,,,,True,[],0.6,0.08156783862427837,False,,,0.0,0,,,,,0,,,43.22048343580708,4103,,,,,body_contact,,all_lp5
0.25975,0.26875,0.149875,0.35475,0.05875,False,True,0.0625,0.0038227398998453834,0.0130007077502437,True,[],20.0,0.22321467305036707,True,24.13307380615142,0.0,0.0,0,0.005870156955037204,0.7744170863952112,0.216,0.172625,8000,0.004,29.54464475830018,2745.456969681172,4100,3.8125,0.14601872957732828,0.036887621801642574,9.125,horizon,0.05,feet_mean_after4s
0.253,0.269625,0.1535,0.386875,0.06,False,True,0.0625,0.04690085505737313,0.013049377737115963,True,[],20.0,0.13930691843895643,True,20.23476430024089,0.0,0.0,0,0.004912946885092653,0.7504884856748898,0.212125,0.1715,8000,0.00475,28.968980240666074,2734.592530411145,4101,3.75,0.14771311453339814,0.0349507371099629,9.8125,horizon,0.05625,feet_mean_after4s
0.263,0.26975,0.166875,0.41325,0.065,False,True,0.0625,0.006658120101877792,0.012026952001683201,True,[],20.0,0.19712813407636842,True,20.311329839157192,0.0,0.0,0,0.005352805952217181,0.75932639177639,0.194125,0.157875,8000,0.002375,29.481465817376,2787.3499662316835,4102,3.6875,0.12264346771385204,0.03476162912793931,9.0625,horizon,0.0325,feet_mean_after4s
0.258875,0.259375,0.15075,0.375125,0.08125,False,True,0.0625,0.042916037350910624,0.011295543798482745,True,[],20.0,0.32664765753167574,True,20.470246950502872,0.0,0.0,0,0.0038794081753442096,0.7974575100193496,0.2245,0.17825,8000,0.0025,28.32522140697575,2706.883298838793,4103,3.9375,0.11738017421711916,0.03626856964672204,9.375,horizon,0.0375,feet_mean_after4s
0.08823529411764706,0.25176470588235295,0.04588235294117647,0.25176470588235295,0.5294117647058824,False,True,3.5294117647058822,0.03010226564003362,0.04161487310331398,True,[],5.7,0.13638549297244343,False,20.235669777961697,0.0,0.0,0,0.00558697345180493,0.9321977380951145,0.6094117647058823,0.5658823529411765,850,0.002352941176470588,1.427545552650917,760.7366755317555,4100,0.5882352941176471,0.02626591764109645,0.06895468576553067,8.23529411764706,excessive_tilt,0.023529411764705882,ankles_feet_mean_after4s
0.08275862068965517,0.23218390804597702,0.0367816091954023,0.22298850574712645,0.5632183908045977,False,True,4.022988505747126,0.027805024375008505,0.03996715566137372,True,[],5.74,0.11551922001666938,False,17.727725072049488,0.0,0.0,0,0.0,0.9945054002711783,0.6459770114942529,0.6160919540229886,870,0.0,1.6899885753471928,765.2718677605404,4101,0.5747126436781609,0.026112328416345414,0.07407994651694916,20.114942528735632,excessive_tilt,0.011494252873563218,ankles_feet_mean_after4s
0.10625,0.29375,0.05875,0.25875,0.5375,False,True,3.125,0.03115806230941231,0.03758826793184248,True,[],5.6000000000000005,0.15431722473271123,False,17.115840062438686,0.0,0.0,0,0.0001348374601549673,0.9875157564882598,0.60625,0.6,800,0.0,1.555853999051212,749.0451877182492,4102,0.625,0.03499669330754296,0.07554389825946076,26.25,excessive_tilt,0.025,ankles_feet_mean_after4s
0.05568181818181818,0.2431818181818182,0.08181818181818182,0.21022727272727273,0.10227272727272728,False,True,3.9772727272727275,0.05258285241965686,0.03570631062230604,True,[],5.76,0.23504101102055938,False,18.56235327012596,0.0,0.0,0,0.0,1.1513542083278865,0.5920454545454545,0.4738636363636364,880,0.0011363636363636363,1.6840248839533802,748.2378174419689,4103,0.5681818181818182,0.038780777149902815,0.08110901393328533,35.79545454545455,excessive_tilt,0.022727272727272728,ankles_feet_mean_after4s
0.28975,0.345875,0.21,0.326,0.06625,False,True,0.0625,0.0002920876605458678,0.01620683008693275,True,[],20.0,0.27253961757277173,True,20.699769780263836,0.0,0.0,0,0.0003994581159333129,0.7684021459390377,0.19675,0.164375,8000,0.004375,28.370273660275398,2703.911097337019,4100,3.5,0.09986164447419146,0.03637960331406419,9.1875,horizon,0.0475,feet_home_after4s
0.28,0.382,0.180125,0.366625,0.05125,False,True,0.0625,0.00047945109246780066,0.016607437821746448,True,[],20.0,0.2734756863816709,True,22.447767725074705,0.0,0.0,0,0.0010527899933506504,0.787733299809806,0.195125,0.156,8000,0.005,28.966151686524093,2702.0808110114244,4101,0.1875,0.0969191840059198,0.03778675937954076,9.6875,horizon,0.055,feet_home_after4s
0.269375,0.39175,0.1875,0.338875,0.0725,False,True,0.0625,0.0003150456256422751,0.01621423362459344,True,[],20.0,0.24968012195431427,True,20.514224126583443,0.0,0.0,0,0.0009202260230318498,0.7464590091019896,0.201375,0.161375,8000,0.004625,26.565875839073996,2695.733449340953,4102,0.8125,0.08939438835622647,0.034900280859854804,9.75,horizon,0.0525,feet_home_after4s
0.279625,0.356,0.200625,0.372875,0.05625,False,True,0.0625,0.0004977127839764006,0.014357316047783262,True,[],20.0,0.3823663931705557,True,20.21041396085414,0.0,0.0,0,0.0010038025536259969,0.7568279272256206,0.193625,0.15825,8000,0.004125,27.675819971122323,2652.167269532344,4103,3.4375,0.08863459217537044,0.034869457304751356,8.9375,horizon,0.04875,feet_home_after4s
